OptionSetName;OptionSetUID;OptionSetCode;OptionName;OptionUID;OptionCode
MPHD - Facility Monthly (Terms);;;0 - 59 days;;col_1
MPHD - Facility Monthly (Terms);;;2 - 59 months;;col_2
MPHD - Facility Monthly (Terms);;;> 5 years;;col_3
MPHD - Facility Monthly (Terms);;;Male;;col_4
MPHD - Facility Monthly (Terms);;;Female;;col_5
MPHD - Facility Monthly (Terms);;;Unknown;;col_6
MPHD - Facility Monthly (Terms);;;< 20;;col_7
MPHD - Facility Monthly (Terms);;;20 - 40;;col_8
;;;> 25;;col_9
MPHD - Facility Monthly (Terms);;;Totals;;Totals
;;;Child health;;TABTitle_1
;;;Family planning;;TABTitle_2
;;;Immunization;;TABTitle_3
;;;Maternal Health;;TABTitle_4
MPHD - Facility Monthly (Terms);;;CH.1 Diarrhea Treatment;;TAB1Title_1
MPHD - Facility Monthly (Terms);;;Number of children diagnosed with diarrhea;;TAB1Text_1
MPHD - Facility Monthly (Terms);;;Number of children treated with ORS;;TAB1Text_2
MPHD - Facility Monthly (Terms);;;Number of children treated with ORS+Zinc;;TAB1Text_3
MPHD - Facility Monthly (Terms);;;CH.1 Pneumonia Treatment;;TAB1Title_2
MPHD - Facility Monthly (Terms);;;Number of children diagnosed with pneumonia;;TAB1Text_4
MPHD - Facility Monthly (Terms);;;Number of children treated with Amox DT;;TAB1Text_5
MPHD - Facility Monthly (Terms);;;Number of children treated with antibiotics;;TAB1Text_6
;;;Number of children with a positive malaria RDT that received ACT;;TAB1Text_7
;;;Number of children with a positive malaria RDT;;TAB1Text_8
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Malnutrition treatment;;TAB1Title_3
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Number of children under five admitted for treatment for moderate acute malnutrition;;TAB1Text_9
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Number of children under five admitted for treatment for severe acute malnutrition;;TAB1Text_10
MPHD - Facility Monthly (Terms);;;CH+Nut.1 Number of children under five reached with direct food assistance;;TAB1Title_4
